product,symptom,cause
SX-1000,"電源入らない
2017/1/20　沖本情報","間違いなくAC100Vが供給されていることを確認してください。
供給されているにもかかわらず電源が入らない場合は、電源ユニットの不具合が考えられます。
しかし電源ユニットは入手不可なので、SX-1000背面のDC24V入力（停電補償）端子を利用して
DC24Vを直接印加してください。電源ユニットが故障の場合は、この方法で応急処置ができます。
応急処置であることを伝え、入れ替え提案をしてください。"
ST-32,安全ピン,安全ピンの部品設定はありません。ST-33用は形状違いのため使用できません。
ST-310F,シャフトを下に下げる時にギューと音が出る,"フリーストップはパイプの中の網状チューブ（金属製）の摩擦により止まるように
していますが、このチューブがご使用の過程で変形し、パイプをこするために
音が出ていると考えられます。

対処方法としては、この部分の修理が必要となります。
なお、潤滑油の注油は別のノイズを誘発することがありお勧めできません。

■サービスマニュアルパーツリストの⑨アミチューブの取り扱い上の注意：
取り扱い上で、円筒部分の真円が歪むことがあります。
歪んだ状態のアミチューブを使用するとスタンドの上下時に引っかかり、
あるいは異音（金属が擦れ合う音）が出るようになります。"
SS-019,部品リスト,"基板の設定はありませんので個々部品での対応です。

・1151457020　基板（板のみ）
・1150504870　スペーサ
・1110825530　LED
・1231638370　ハーネス？
・1240438240　ジャンパー線
・1151457020　セレクタースイッチ　*2"
SS-014,業務放送（ラック型）で放送が出来ない、誤作動を起こす,"●症状
チャイムやページングなど、リモートで起動が掛った場合、正常に放送されない
放送が復旧しても、プリアンプ：PP-025の電源が落ちない（薄くランプ点灯）等々
誤作動を起こす。

※SPセレクター：SS-014の動作表示ランプが点滅したり、
　複数（タイマー、本体、リモコン/予備）のランプが点灯することがある。

●原因
SS-014のセレクターSWのリークによるものです。

●処置
セレクターSW×１１個の交換
部品番号：１１５１４２３４５０　　＠８０円"
RU-312,RM-312で制御きかない,"RU-312の受信ユニットRFT-31基板　L4の調整ずれ。
L4のずれにより制御信号がなまるため。

レシーバー部パルスOUT端子の正常信号：0.27～0.28Vp-p

古い製品のため、IC1 TA7607APの交換とL4以外の回路調整も行ってください。
本製品は、動作不安定なため低温時での動作も確認してください。"
RU-2002,チャイムの頭切れ対策,添付ファイル参照
RS-191,部品表,添付ファイル参照
RM-976,"化粧パネルの情報
LCD交換時に破損しやすい","部品番号：2210301050
部品名称：RM976 ケシヨウパネル シルク
在庫数量：０
仕切価格：\1,658
ちなみに過去3年の出荷実績はありません。"
RM-976,CPUスイッチ部品番号,1151222550
RM-976,"CPU異常
LCD不具合の症例","症状：FS-971に「リモコン異常」が表示され、RM-976のCPU異常ランプが点灯する。
　　　RM-976のCPU異常ランプは、5秒間隔で一瞬消灯し、再び点灯を繰り返す。

原因：RM-976リモコンのLCD故障。

代替　（FS-991と同じです）
・111150700A（M811B　LCD　MODULE　16*2）　￥2600
・1232660950(コネクタ　ZG4C-1431　14P)　　 ￥320"
RM-976,LCD部品情報,"RM-976　LCD
・111150568A(PC1602LRU-IWA-E-QGL）　     ￥6200
 
　　　　　　　　　　↓
 
代替　（FS-991と同じです）
・111150700A（M811B　LCD　MODULE　16*2）　￥2600
・1232660950(コネクタ　ZG4C-1431　14P)　　 ￥320
"
RM-976,アナログ基板情報,"アナログ基板が仕様変更されますが、新旧の互換性がありません。
制御基板間のジャンパー、抵抗2個追加、ケーブル変更する必要あります。
ファームウェアのバージョンアップも必要となります。

-------------

【仲摩部品覚書】メイン+アナログ基板＋接続ケーブル＋VerUP必要⇒AS情報確認すること。

P1860	RM991-20ﾒｲﾝ KU
Z3768	RM976 ｱﾅﾛｸﾞKU (R3901)
123392679B  	RM991 ｾﾂｿﾞｸｹ-ﾌﾞﾙ1"
RM-971,RM-971の1台でCPU異常。本体側でRM通信異常,"症状：
RM-971：RM-971の1台のみCPU異常が出る。他のRMは正常動作する。
FS-971：RM通信異常が出る。RMのアドレスは交互に全て表示される。

点検結果：
CPUラインはDC22V。
CPUラインのEP-029のラインを外したが、症状は変化なくRMにCPU異常が出たまま。
RM BUSラインの電圧は正常値のDC5V。

原因：
DS-029Rの出力電圧が27Vに上昇しており、CPU切状態と誤検知したため。

処置：
DS-029RのVR1を調整しDC24Vになるようにする。
　　　"
RM-971,V2用のLCD,"Z3408  EP059RU CNT KU V2 のLCDは以下の部品番号です。

111150000600   LCD-FSTN240*64 WG24064E
123292108A     LCDケーブルも必要です（このケーブルは新旧同じです）"
RM-971,アナログ基板仕様変更（13A以前のロットは一緒にメインKU+ケーブル+VU要）,添付ファイル参照
RM-200SA,"RM-200SA 5,6台中1台が使用できずフォルトエラーとなる","原因：システム上に同アドレスが存在した為、1台のリモコンのシステムデータが破壊したものと推測されます。
処置：SX-2000SM側でシステム状況確認したところ、エラーの生じているRM-200SAアドレスが異なっていたため変更し、
SX-2000SMのシステムリセットを実施致しました。

1.まず到着時動作テスト症状確認。
2.ケーブル点検異常なし。
3.本体でエラー確認RMの３番にエラーがありますが、エラーの出ていたRMは5番に設定されておりました。
4.RMのアドレスを3番へ変更しましたが症状改善せず。
5.SX-2000SMのシステムリセット実施にて復旧致しました。"
RM-200SA,異常表示点滅/動作選択表示点滅,"症状：異常表示が点滅。動作選択表示が点滅。
　　　停電作業後、症状発生。1台のみ。他は動作している。

処置：SX-2000SMのリセット。
　　　前面の保護カバーを開けて、左端のリセットスイッチを押す。
　　　放送が停止するので、許可をとってからリセットしてください。"
RM-200SA,電源入らない、押していないのに勝手に動く,STPケーブル不具合により交換。（LANケーブル）
RM-200SA,本体からの電源供給,"リモコンが繋がっていないと24Vは供給されない仕様
リモコンなしで本体から供給されるか確認するには擬似的に抵抗を接続すれば確認できる模様"
RM-200FW,"RF-012との接続
コネクタなし時","RM-200FW - RF-012 - JP-034
一斉放送、マイク、チャイム動作チェック可能"
RM-2005,"通信制御の状態確認方法
SS-2005/TA-2000シリーズ",添付ファイル参照
RM-1200,LCDの仕様変更,"最新のLCDは以下となります。
・LCD（111150700A)
・LCDシート（1220523870）

LCDの仕様変更に伴い、上ケースの交換が必要です。
・上ケース（101025036C)
＊02H以降のロットはケース交換必要なし"
RM-1200,LCD修理の注意事項,"RM1200のLCD交換でコネクタも持参したのですが、
実際には半田を吸ってコネクタを付け替えないといけない状況で、写真の通り難儀しました。で、持参したコネクタは不要に。

今後現地修理する際は、コネクタ付きケーブルにしてから望んだほうが無難です。"
RM-1200,マイク部の風防交換について,"・100012608B⇒マイクユニット部品（風防接着されている）
・7080410770⇒風防のみの部品

経年劣化とともにスポンジ剥がれてくるそうです。
風防のみ交換の場合はカッターか何かでスポンジをはがして新たに接着必要
⇒そうせよとASから指示文書有り。"
RM-1100,スイッチの仕様変更,"スイッチ14個全てが旧部品生産中止の為、仕様変更。
09L0206589より。
"
RM-1100,操作基板部品番号,"P8860  ＲＭ１０　ソウサＫ　Ｅ０１００  @14,000"
RF-012,RM-200Fを最大8台までの接続に対応,添付ファイル参照
Q-N-8640DS,ファームウェア,京阪の対策FW　F3.00/A1.03
Q-N-8640DS,メイン基板Z3691交換時の注意,"メイン基板Z3691は在庫がありません。代替部品としてZ3717が登録されていますが、
コネクタが互換性ないため使用できません。以下の部品も手配すること。

1234998950
1235910670
1080110520"
Q-N8600MS-JE,特注品の為、修理不可,現状返却
Q-N8010EX-KN,近鉄専用設定ソフト,Ver3をベースに改造した専用ソフト
Q-MT118,100系SP出力をラインレベルへ変換（商品として手配）,添付ファイル参照
Q-C-DR091/161,Q-C-DR091/161 準標品デジタルレコーダーのファームウエア,"☆最終（特注品）ソフトのバージョン：Ver 2.13Q / FPGA：Ver 0217（添付ファイル）

　QC-DR091D6, QC-DR091-3, QC-DR161D6

　　　　

☆ ＦＰＧＡプログラム（添付ファイル）

　　


【注意事項】
　必ずＦＷとＦＰＧＡを一緒にバージョンアップしてください。

準標品は出荷時のソフトウェアのバージョンが、2.00Q(末尾が「Q」）です。
　「Q」がついているソフトは、ネットワーク機能が未対応。
　よって、標準品のソフトウェア（末尾に「Q」がついていないもの）にバージョ
　ンアップすると、一部の機能が異なってきます。
　バージョンアップ時は、バージョンの確認を必ず行い、対応をお願いします。

【その他】
　”FPGA”とは
　　FPGAとは、Field Programmable Gate Arrayの頭文字で、「後からでも回路の
　　書き換えが可能なﾛｼﾞｯｸ・ﾃﾞﾊﾞｲｽ」。"
Q-C-DA1000-1,特注品,"青木さんから回答来ました。
 
特注品ですが、メンテナンス、ファームウェアとも通常の修理手順で問題なし。"
Q-AI001A,回路図など資料,"動作概要は下記の通りです。
１．電源電圧 AC100V
２．音声信号入力 100V SPライン
３．音声信号出力 0dB
４．制御出力 無電圧メーク接点

100V SPライン入力が加わると、制御出力より無電圧メーク接点が出力、同時に音
声信号が出力されます。

検知感度10(MAX) 出力音量MAX(10)
100Vライン入力 6.2dBv程で、制御信号出力メイクされ、音声出力から-36.7dBv

入力OFF後13秒程で制御信号出OPEN

***********************************************************

2014/10にエンジの特注品を一度修理しています
出力なし→OPamp M1不良交換"
PX-9C,検出感度の変更,"詳細：
2014年12月納入。月1回程度切替試験を客先で実施していたが、4月頃から、
電話PAコントローラヘ接続し、
切替後1～ 2分で回線が切断されて、通常音声へ戻ってしまう
現象が発生。客先固定回線、携帯電話、
別箇所の固定回線から接続を行っても、回線が切断されて戻る。
使用系統を衛星電話から加入電話へ変更し、接続を行っても、回線が切断されて戻る。


処置：
基板上のR169を100kΩから330kΩに変更すれば
検出感度を10dB落とせると開発から情報が来ました。
部品は、1608タイプのチップ抵抗で、元々の100Kと同タイプです。"
PX-9C,ブザーが鳴りっぱなしで電源入らない,"症状：電源を確認すると、24V, 15V, 7.5Vは正常で3.3Vのみ出力されていない。
　　　3.3Vラインがグランドと短絡している。

確認：3.3Vラインは多くのICの電源となっているため、特定するには
　　　3.3VラインにDC電源から3.3V 3A程度電圧をかけてみる。その様子を
　　　赤外線カメラで観察し、発熱部位を特定します。手で触ってもわかります。

原因：ほとんどのケースでM15が140℃で異常発熱しており、M15 3.3VラインがGNDと短絡している。

処置：M15およびスイッチング電源の交換で見積実施してください。
　　　1113199210     M15 EPM570T100C5N カキコミ　
　　　1000333510　 　ｽｲﾂﾁﾝｸﾞﾃﾞﾝｹﾞﾝ LCA10S-24


M15はCPLD (Complex Programmable Logic Device)

M15   EPM570T100C5N カキコミ   1113199210　　
既にプログラムが書き込まれた状態の部品です。
仕切り￥７，０００－　現在庫無し
国内工場使用部品　工場在庫有り
取り寄せになります。
 
メイン基板内CF5[（NFL21SP107)4-4]も焼損していることもあるので目視確認必要

動作確認は電話着信確認以外に放送確認もすること"
PX-9B,時間と共に音声合成の音声が出なくなる,"音声合成出力制御ICの故障

M7 UPD4066BC 
部品番号：1111114420"
PX-9B,電源を入れるだけでブザー鳴りっぱなし,"ブザー制御ICの故障

M6 UPD4066BC 
部品番号：1111114420"
PP-025C,BGMは正常だがマイクからの放送ができない,"PP-025Cからの出力がライン2に接続されていたため、マイク放送が出力されませんでした。
これをライン１出力に挿し替えました。（ライン出力2は、入力3専用の出力端子のため）"
PP-025C,チャイム部基板在庫,"
品番：PP-025
症状：写真のチャイムスイッチの接触が悪いようで、２度なったりすることが
あるとのこと。

ボタンを正面から押しづらい位置にラックがあり、スイッチが斜めに
押されている様子なので、そのせいもあるかもしれません。

見積可能でしょうか？よろしくお願い致します。

--------------

【概算回答】

41B＠6800
出張＠丹波市

※部品は添付のPDFご覧ください。⇒件名右クリックでファイル呼び出し。

＠40円の部品はボタンのプラスチックカバー部です。
故障している部分は部品としての提供がないので
商品として発注（ご購入）していただくしかないです・・・。

※PP-025Cも中身変わらず・・・。

--------------

CK-025チャイムユニット

SW1　1151434250

代替　1151456760"
PP-025C,前面マイク1の入力コネクタ交換,7000387340 フロント基板*1 交換
PM-660,スイッチがOFFの状態で音が漏れる,"下記の内容、無償対応は期限切れなので以降は有償対応となります。（2015/12月現在）
⇒ただし、商品が＠8000円程度の為、持込でしか修理は入らないです。

--------------------


PM-660/出張修理の場合

【概算見積】

・507084750A＠340
・5050401230 ＠50
・503030818B ＠100

工料30B＠6800
出張料＠時価



・サイトアドレス

https://www.toa-products.com/tass/service_info/service_info.php?iid=386


トークスイッチやロックレバーがＯＦＦでも音声が出力される。

【原　因】
　接点出力用マイクロスイッチの加工不良。
　スイッチ接点の接触抵抗が増加し、マイクロスイッチ接点がオープンの非接触
　状態になり、スイッチを押さなくてもマイク動作が「ＯＮ」状態となる。

【対象ロット】※ただし、右記のロットは対策済み
　ＰＭ－６６０　（10Ｉ～11Ｇ）　  11E1100011 ～ 11E1100550
　ＰＭ－６６０Ｄ（10Ｆ～11Ｇ）    11D1100061 ～ 11E1100547
　ＰＭ－６６０Ｕ（10Ｉ～11Ｇ）    11D1100121 ～ 11D1100250
　ＰＭ－６６０Ｗ（10Ｉ～11Ｇ）    11E1100001 ～ 11F1100008

【対応期間】
　下記の場合、無償修理とする。
　・上記対象ロットで当該症状を発生した場合。
　・対象ロット（もしくは納入日）から１年間とする。

【処　置】
　以下の部品を交換して下さい。
　※機種により交換部品（ＳＷ基板）が異なるので注意。
　　◇ＰＭ－６６０
　　　・507-08-475-0A　PM-660 1SW ASSY　　 ×１
　　　・505-04-012-30　CUSHON　　　　　　　×１
　　　・503-03-081-8B　SWITCH BUTTON(ORG)　×１
　　◇ＰＭ－６６０Ｄ、Ｕ、Ｗ
　　　・507-08-476-1A　PM-660 2SW ASSY　　 ×１
　　　・505-04-012-30　CUSHON　　　　　　　×１
　　　・503-03-081-8B　SWITCH BUTTON(ORG)　×１

【交換要領】　添付ファイル参照。（サービスマニュアル参照）

【費　用】
　費用は、ＴＯＡ料金規定に準ずる。
　特記２：C1105（半角、大文字）
　※特に指示がない限り、持込修理で対応すること。
"
PD-1130,製品からの漏れ電流について,添付ファイル参照
PD-1130,部品一覧,"部品発注の場合はリレー基板は複合基板となっており
Z0715：コントロール/リレー/ターミナル/スイッチ/LED基板1セットだそうです。
＠14000円です。"
PA-630B,電源入らない,"機種:   PA-3640B; PA-2440B; PA-1230B; PA-630B
症状：　電源入らない。

パラ接続時に単独試験を目的とする場合に、DCヒューズを抜くことによる対応を
すると、部品破壊に至りますので、注意をお願いいたします。


【不具合調査結果】
調査した結果、ドライブ基板D202(HZ24-2)の破壊（ショート状態）
によりDC24VがLED及びインプット基板に供給されないためです。
D202を交換後正常動作します。

部品破壊原因：　
PAアンプをパラ運転し、単体動作及び配線確認の為1台のDCヒューズを抜くと
DCヒューズを抜いたPAの出力端子(100V-COM間）に他のアンプから
の出力が印加される為、OT及びパワートランジスタを経由してラグコンにマイナスの電 

圧が発生する（アンプ出力57V時で約-6Vが発生している）。
D202が破壊するのはこの為である。

但し、PAアンプのACヒューズを抜いた状態では、ブリッジダイオードが入る
ためにラグコンの電圧が-1.2Vまでしか下がらず、定格出力状態でもツエナーの電流は 

約100mAとなり、ツエナーの破壊には至らない。

【お願い】
パラ接続時対応での動作確認時に、やむを得ずヒューズを抜く対応をしなければ
ならない場合は、必ずACヒューズ側を抜くようにお願いします。
且つチェック時間は短時間で行うようにしてください。（ラグコンに-1.2Vの電位が発生するため）"
PA-3640B,15AのACヒューズ切れる,"D401ブリッジダイオードショートのため。
DCヒューズは切れない。

1112300620 KBPC3506(1110330670 S25VB20代替）

ブリッジダイオード交換する場合は、パラレル接続されている
コンデンサ4個も同時交換。

1133586780 1KV 0.01uF"
PA-3640B,ドライブ基板について,"2014.11.13

下記、AS課青木さんからの回答です。

問合せいただいております
Ｐ８７２０ ＰＡ３６４０ＢフクゴウＫＵ（ドライブＫＵのみ 仕切り￥３，４００－）ですが
在庫無し 入手不可です。

代替部品ですが

Ｐ８６８０ ＰＡ２４４０ＢフクゴウＫＵ （ パワーＫＵ Ｌ、ＲとドライブＫＵが含まれている 仕切り￥７，０００－）
パワーＫＵ Ｌ、ＲとドライブＫＵが含まれています。
ドライブＫＵは共通です。
このドライブ基板が使えます。"
PA-3640B,電源入らない,"機種:   PA-3640B; PA-2440B; PA-1230B; PA-630B
症状：　電源入らない。

パラ接続時に単独試験を目的とする場合に、DCヒューズを抜くことによる対応を
すると、部品破壊に至りますので、注意をお願いいたします。


【不具合調査結果】
調査した結果、ドライブ基板D202(HZ24-2)の破壊（ショート状態）
によりDC24VがLED及びインプット基板に供給されないためです。
D202を交換後正常動作します。

部品破壊原因：　
PAアンプをパラ運転し、単体動作及び配線確認の為1台のDCヒューズを抜くと
DCヒューズを抜いたPAの出力端子(100V-COM間）に他のアンプから
の出力が印加される為、OT及びパワートランジスタを経由してラグコンにマイナスの電 

圧が発生する（アンプ出力57V時で約-6Vが発生している）。
D202が破壊するのはこの為である。

但し、PAアンプのACヒューズを抜いた状態では、ブリッジダイオードが入る
ためにラグコンの電圧が-1.2Vまでしか下がらず、定格出力状態でもツエナーの電流は 

約100mAとなり、ツエナーの破壊には至らない。

【お願い】
パラ接続時対応での動作確認時に、やむを得ずヒューズを抜く対応をしなければ
ならない場合は、必ずACヒューズ側を抜くようにお願いします。
且つチェック時間は短時間で行うようにしてください。（ラグコンに-1.2Vの電位が発生するため）"
PA-2440B,10AのACヒューズ切れる,"D401ブリッジダイオードショートのため。
DCヒューズは切れない。

1112300620 KBPC3506(1110330670 S25VB20代替）111030001100代替

ブリッジダイオード交換する場合は、パラレル接続されている
コンデンサ4個も同時交換。

1133586780 1KV 0.01uF（113350001000代替）"
PA-2440B,アンプDCヒューズ切れる,"1.　スピーカーインピーダンスは規定範囲か。
2.　パラ運転の場合、全てのアンプのバランスはとれているか。
　　入力に1KHz信号を入れて、出力レベルを比較する。
　　同じレベルになっていない場合は、アンプの入力感度を調整する。
3.  PA-2440Bの場合、ブリッジ整流器がショートしていないか確認する。"
PA-2440B,電源入らない,"機種:   PA-3640B; PA-2440B; PA-1230B; PA-630B
症状：　電源入らない。

パラ接続時に単独試験を目的とする場合に、DCヒューズを抜くことによる対応を
すると、部品破壊に至りますので、注意をお願いいたします。


【不具合調査結果】
調査した結果、ドライブ基板D202(HZ24-2)の破壊（ショート状態）
によりDC24VがLED及びインプット基板に供給されないためです。
D202を交換後正常動作します。

部品破壊原因：　
PAアンプをパラ運転し、単体動作及び配線確認の為1台のDCヒューズを抜くと
DCヒューズを抜いたPAの出力端子(100V-COM間）に他のアンプから
の出力が印加される為、OT及びパワートランジスタを経由してラグコンにマイナスの電 

圧が発生する（アンプ出力57V時で約-6Vが発生している）。
D202が破壊するのはこの為である。

但し、PAアンプのACヒューズを抜いた状態では、ブリッジダイオードが入る
ためにラグコンの電圧が-1.2Vまでしか下がらず、定格出力状態でもツエナーの電流は 

約100mAとなり、ツエナーの破壊には至らない。

【お願い】
パラ接続時対応での動作確認時に、やむを得ずヒューズを抜く対応をしなければ
ならない場合は、必ずACヒューズ側を抜くようにお願いします。
且つチェック時間は短時間で行うようにしてください。（ラグコンに-1.2Vの電位が発生するため）
"
PA-2430,PA-2430 DCヒューズ電流,添付ファイル参照
PA-1230B,電源入らない,"機種:   PA-3640B; PA-2440B; PA-1230B; PA-630B
症状：　電源入らない。

パラ接続時に単独試験を目的とする場合に、DCヒューズを抜くことによる対応を
すると、部品破壊に至りますので、注意をお願いいたします。


【不具合調査結果】
調査した結果、ドライブ基板D202(HZ24-2)の破壊（ショート状態）
によりDC24VがLED及びインプット基板に供給されないためです。
D202を交換後正常動作します。

部品破壊原因：　
PAアンプをパラ運転し、単体動作及び配線確認の為1台のDCヒューズを抜くと
DCヒューズを抜いたPAの出力端子(100V-COM間）に他のアンプから
の出力が印加される為、OT及びパワートランジスタを経由してラグコンにマイナスの電 

圧が発生する（アンプ出力57V時で約-6Vが発生している）。
D202が破壊するのはこの為である。

但し、PAアンプのACヒューズを抜いた状態では、ブリッジダイオードが入る
ためにラグコンの電圧が-1.2Vまでしか下がらず、定格出力状態でもツエナーの電流は 

約100mAとなり、ツエナーの破壊には至らない。

【お願い】
パラ接続時対応での動作確認時に、やむを得ずヒューズを抜く対応をしなければ
ならない場合は、必ずACヒューズ側を抜くようにお願いします。
且つチェック時間は短時間で行うようにしてください。（ラグコンに-1.2Vの電位が発生するため）"
PA-1220,出力トランス（ＯＴ-493-ＧＬ）交換時の修理手順追加について,"☆概　　要

　　生産ラインの「容量性負荷試験」で、発振のためＮＧとなる製品が発生した。
　　原因は、出力トランス自身のバラツキによるものと判明した。
　　対策として、コンデンサの仕様変更を行った。
　　（発振に対する余裕度を向上した）

　☆仕様変更内容

　　・C421：容量変更（220PF → 390PF）
　　　　　新部品　113-35-208-7R CK45 50V 390PF B(K)TAPPING
　　　　　　　　　単価 ￥20

　　・C422：削除（47PF → 未実装）

　
　☆対象ロット

　　※判明しだい掲載の予定

　　※上記対象製品は、製品検査をパスしているため市場では発生しない。
　　　修理発生時、出力トランスを交換する際に対策が必要となる。

　☆修理手順の追加

　　・上記対象ロットの製品修理において、出力トランスを交換する場合は、上記
　　　仕変内容にしたがってコンデンサの容量変更および削除を行う。

　　・通常修理の範囲内。（料金規定に準ずる）

　　・添付ファイル参照


　☆作業要領

　　・トランス交換（コンデンサ対策）完了後、発振状態の確認は必要なし。
　　　通常行っている修理完了後の動作点検を確実に行うこと。

　　・並列運転の場合、利得の確認（調整）が必要。（場合によっては）"
P-60F,部品番号,"Power1～4・OUT・VR・SW・LEDセット基板（Z0775）＠18000
PS・インプット・DRIVEセット基板（Z0785）＠18000"
P-240DH,電源入らず,"①セメント抵抗故障
②電源リレーが駆動せず、セメント抵抗が故障
→コンデンサの容量抜け"
P-120DH,音出ず、割れる、歪む,"メイン基板やパワー基板の半田劣化（割れ）により、音が出なかったり割れたり
（歪んだり）する症状が発生する。
原因は、熱によるものと思われます。設置後、４～５年経過している機器の場合、
当該症状が発生していなくても、予測処置として半田の手直しを行ってください。
以下、各基板の半田手直し箇所を参考にしてください。
※半田劣化箇所が見つかった場合は、周辺の半田付けもチェックしてください。

★メイン基板（MAIN PCB）
　　　●TB101　12P2段端子台　
      ●CN106　B11B-XH ｺﾈｸﾀｰ

★パワー基板（POWER PCB）
　　●Q404～Q408、Q410～Q414　　
      ●CN401　15Pｺﾈｸﾀ
      ●R412～R421　5W抵抗"
P-120DH,電源リレー,1151638630　＠480
P-120D,LチャンネルがPROTECT表示,"PROTECT基板の劣化

部品番号：7000473560  @2,000"
P-120D,音出ず、割れる、歪む,"メイン基板やパワー基板の半田劣化（割れ）により、音が出なかったり割れたり
（歪んだり）する症状が発生する。
原因は、熱によるものと思われます。設置後、４～５年経過している機器の場合、
当該症状が発生していなくても、予測処置として半田の手直しを行ってください。
以下、各基板の半田手直し箇所を参考にしてください。
※半田劣化箇所が見つかった場合は、周辺の半田付けもチェックしてください。

★メイン基板（MAIN PCB）
　　　●TB101　12P2段端子台　
      ●CN106　B11B-XH ｺﾈｸﾀｰ

★パワー基板（POWER PCB）
　　●Q404～Q408、Q410～Q414　　
      ●CN401　15Pｺﾈｸﾀ
      ●R412～R421　5W抵抗"
NX-220,NX-220HUは単体動作不可,"2016/7/26　TOA宝塚アフター　校條様より単体動作出来ず　タケックスに送る
NX-220HUはNX-220CTが必要"
NX-220,PCで確認すると全エリアに×印が出て通信出来ない,"151119107にて出張実績あり

状況：蒲原に！・JE物流に×がでて繋がらない状態です。
原因：八木工場内におけるモニターパソコンとの通信誤作動が考えられます。
処置：八木工場内機器を各OFFーONし再起動いたしました。結果復旧いたしました。"
NX-220,"日亜鋼業設定情報
初回設定手順等",添付ファイル参照
NX-100S,ブラウザでの設定,"専用ソフトをインストールすることなく、ブラウザからNX-100/100Sに個別に接続し
設定を変更することができます。
インターネット接続などNAT機能を使用して接続されたNX-100/100Sの設定は、
ブラウザから行ってください。

IE6, IE5.5 Netscape7対応。

ネットワークの設定が正しく行われていないと設定できません。特に、工場出荷時
はIPアドレスが重複していたり、パソコンとNX-100/100Sが同一ネットワークではない
設定になっていたりする場合があります。予め、設定ソフトウェアでネットワーク設定を
済ませるか、ブラウザで設定する場合は、■クロスケーブル■で設定するパソコンと接続して
ネットワークからは切り離して設定を行ってください。

設定の変更は、NX-100/100Sの再起動後に反映されます。設定を変更したら再起動してください。"
NX-100S,メイン基板（R0809）,"1枚基板、不具合箇所はメイン基板交換、またはＡＣアダプターの不具合程度。
基板交換しか修理できない。"
NVR510,ダーファカメラの設定情報,添付ファイル参照
NVR500,VPN(PPTP)接続ができない,添付ファイル参照
NVR500,スマホからのリモートアクセス設定方法,添付ファイル参照
NVR500,コマンドプロンプトping,"Windowsのコマンドプロンプトからping ~~.netvolante.jp

遠隔地からNVR-500までの経路が正常か確認"
N-SD2000,ファイアウォールによる障害,"N-RV3やN-SD2000、DRNET等のソフトで映像が出ない症状が発生した場合や
スキャンをしてもデジレコが見つからない場合は添付内容を確認してください。
 
■コントロールパネル
■システムとセキュリティー
■Windowsファイアウォールによるプログラムの許可
■N-RV3の項目を確認し、?が入っているか。＊?がない場合は?を入れてください。
 
ネットワークの設備に更新が進んでると思います。今後もソフトによっては上記のような
内容が発生することが多いと思いますので、症状が発生した場合は該当ソフトの
チェックを確認してください。
 
＊取説には情報有りません"
N-SD2000,Windows10にてインストール方法,vcredist_x86をインストールする必要がある
N-RV5-U,電源入らず,"停電後電源LED点滅のままでON出来ない（現場にUPSはありませんでした）

ACアダプター１分程外し　→　復旧せず
リチウム電池１分程外し　→　復旧
　ほぼリチウム電池の交換(サービスマニュアルP36,37)の手順で復旧しました

起動後BIOS画面が一度でましたが、デフォルト設定で問題ありませんでした
（F1キー）

メンテナンス画面で時刻合わせ必要"
N-RV5-U,特定のロットで電源投入時に正常に起動しないことがある,"ネットワークレコーダーの特定のロットで、電源投入時に正常に起動しないことがあるという不具合が発生した場合の対処法
【対象品番】
　N-R516-4 ： ネットワークレコーダー 16局 4TB
　N-R516-8 ： ネットワークレコーダー 16局 8TB
　N-R532-8 ： ネットワークレコーダー 32局 8TB
　N-R532-12： ネットワークレコーダー 32局 12TB
　N-R532-16： ネットワークレコーダー 32局 16TB
　N-RV5-U  ： リモートビューアーユニット
【対象ロット】
　N-R516-4　B00： 21J4001095T ～ 21J4001134T
                  21K4001135T ～ 21K4001138T
            　　　               21K4001143T
（うち21J4001097T、21J4001111T、21J4001120Tの3台は蟻カード/修理対応で除外）

　N-R516-8　B00： 21J4000255T、21J4000256T、21J4000259T、
                  21K4000260T ～ 21K4000263T
                  21K4000265T ～ 21K4000267T

　N-R532-8  B00： 21J4000687T ～ 21J4000716T　
（うち21J4000714Tの1台は修理対応で除外）

　N-R532-12 B00： 21J4000171T ～ 21J4000171T　

　N-R532-16 B00： 21J4000078T ～ 21J4000081T

　N-RV5-U   B00： 21J4000697U ～ 21J4000721U
                  21K4000722U ～ 21K4000740U
（うち21J4000699U、21J4000704U、21J4000712U、21J4000715U、21J4000716U、
   21K4000726U、21K4000731U、21K4000733U、21K4000738U、21K4000739Uの
 10台は蟻カード/修理対応で除外）

【症状】
　主電源スイッチをONしても電源表示灯が点滅を繰り返して起動しない。映像も出力されない。

【発生原因】
　電源投入時に、マザーボード内の回路を動作させる+5V電源ラインに意図せぬドロップが発生し起動しない場合があるため。

【対策】

　マザーボードを対策品に交換する。（サービスパーツの現在庫は全て対策品に入れ替わり済）

【処置・対応】
　症状が発生した際に、マザーボードの交換対応を行う。
　※ 交換後のマザーボードは全てＴＯＡ株式会社 宝塚事業所
     品質保証室品質保証課（石原さん）まで返送してください。

【交換部品】
　部品番号：100-03-00135-04 / 部品名：MOTHERBOARD AIMB-275G2TOA　

【修理条件】
　納入後、原則3年未満は無償修理とする。
　納入から3年以上経ったものは有償修理とする。

【伝票処理】
　得意先コード：196407
　特記２　　　：QC22NR1
　特記コード　：C2202
　用途目的　　：N-R516-4,N-R516-8,N-R532-8,N-R532-12,N-R532-16,N-RV5-U 電源投入時に正常に起動しない"
